<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20101001,000000,8119.6200000,8205.6000000,8107.4900000,8147.1700000,20696
20101003,000000,8150.4800000,8198.9800000,8132.8400000,8169.2200000,738
20101004,000000,8168.1200000,8176.9400000,8038.0400000,8063.4000000,18542
20101005,000000,8062.3000000,8334.5700000,8034.7400000,8326.8500000,27540
20101006,000000,8326.8500000,8354.4100000,8236.4600000,8319.1300000,22251
20101007,000000,8315.8300000,8343.3800000,8061.1900000,8162.6100000,37488
20101008,000000,8163.7100000,8380.8600000,8083.2400000,8344.4900000,36096
20101010,000000,8342.2800000,8421.6500000,8322.4400000,8389.6800000,2961
20101011,000000,8389.6800000,8412.8300000,8275.0400000,8292.6800000,21110
20101012,000000,8291.5800000,8462.4300000,8195.6700000,8401.8100000,30117
20101013,000000,8401.8100000,8509.8300000,8387.4800000,8494.4000000,23358
20101014,000000,8494.4000000,8526.3700000,8292.6800000,8441.4900000,29920
20101015,000000,8441.4900000,8519.7500000,8365.4300000,8466.8400000,35387
20101017,000000,8456.9200000,8456.9200000,8348.9000000,8377.5600000,2276
20101018,000000,8378.6600000,8553.9300000,8329.0500000,8477.8700000,28011
20101019,000000,8474.5600000,8509.8300000,8201.1900000,8321.3400000,49891
20101020,000000,8321.3400000,8417.2400000,8221.0300000,8320.2400000,30685
20101021,000000,8320.2400000,8487.7900000,8270.6300000,8386.3700000,40777
20101022,000000,8385.2700000,8421.6500000,8289.3700000,8416.1400000,25454
20101024,000000,8406.2200000,8534.0800000,8399.6000000,8499.9100000,4462
20101025,000000,8499.9100000,8582.5900000,8482.2800000,8512.0400000,26442
20101026,000000,8510.9400000,8598.0200000,8464.6400000,8472.3500000,25895
20101027,000000,8473.4600000,8481.1700000,8290.4700000,8365.4300000,34324
20101028,000000,8366.5300000,8442.5900000,8278.3500000,8278.3500000,29591
20101029,000000,8279.4500000,8287.1700000,8164.8100000,8258.5100000,27627
20101031,000000,8262.9200000,8335.6700000,8261.8100000,8330.1600000,1981
20101101,000000,8329.0500000,8412.8299200,8302.6000000,8344.4867000,20235
